"Date"	"am_group"	"amu"
2013-01-01	"Aminoglycosides"	8.8131956633742
2013-01-01	"Amphenicols"	0.5240690164424
2013-01-01	"ExtPenicillins"	21.4384824414126
2013-01-01	"Lincosamides"	19.0029127606569
2013-01-01	"Macrolides"	88.0367012723056
2013-01-01	"Pleuromutilins"	84.413151168813
2013-01-01	"SimPenicillins"	37.6124414492221
2013-01-01	"Tetracyclines"	131.476398936333
2013-02-01	"Aminoglycosides"	9.8726529456473
2013-02-01	"Amphenicols"	0.7414627779621
2013-02-01	"ExtPenicillins"	21.9512963444305
2013-02-01	"Lincosamides"	18.2564969908554
2013-02-01	"Macrolides"	82.5799889295338
2013-02-01	"Pleuromutilins"	81.81763505259
2013-02-01	"SimPenicillins"	38.5757608442318
2013-02-01	"Tetracyclines"	127.009977666409
2013-03-01	"Aminoglycosides"	8.787498737586
2013-03-01	"Amphenicols"	0.9815534921848
2013-03-01	"ExtPenicillins"	21.6990946916573
2013-03-01	"Lincosamides"	18.0344602605257
2013-03-01	"Macrolides"	77.3790269440677
2013-03-01	"Pleuromutilins"	68.3707565082008
2013-03-01	"SimPenicillins"	34.688401069654
2013-03-01	"Tetracyclines"	122.45823816202
2013-04-01	"Aminoglycosides"	9.7617912724948
2013-04-01	"Amphenicols"	0.7350999161236
2013-04-01	"ExtPenicillins"	24.4474015058747
2013-04-01	"Lincosamides"	19.0891028654299
2013-04-01	"Macrolides"	83.0734370746336
2013-04-01	"Pleuromutilins"	98.4618321181423
2013-04-01	"SimPenicillins"	39.6333281936409
2013-04-01	"Tetracyclines"	140.325373569027
2013-05-01	"Aminoglycosides"	10.0101481591728
2013-05-01	"Amphenicols"	0.6971783250067
2013-05-01	"ExtPenicillins"	21.5046993874014
2013-05-01	"Lincosamides"	17.9585420382194
2013-05-01	"Macrolides"	77.4680891982742
2013-05-01	"Pleuromutilins"	74.470810587681
2013-05-01	"SimPenicillins"	37.5228582736087
2013-05-01	"Tetracyclines"	122.823611132368
2013-06-01	"Aminoglycosides"	9.1653705277785
2013-06-01	"Amphenicols"	1.357660731484
2013-06-01	"ExtPenicillins"	21.504286065403
2013-06-01	"Lincosamides"	17.8285199159642
2013-06-01	"Macrolides"	86.0719553093999
2013-06-01	"Pleuromutilins"	81.7489274252261
2013-06-01	"SimPenicillins"	35.6087696210004
2013-06-01	"Tetracyclines"	131.324356343323
2013-07-01	"Aminoglycosides"	10.9072791157202
2013-07-01	"Amphenicols"	0.8680829082282
2013-07-01	"ExtPenicillins"	24.0846647501971
2013-07-01	"Lincosamides"	19.146347750819
2013-07-01	"Macrolides"	80.9359698033323
2013-07-01	"Pleuromutilins"	90.8206346759452
2013-07-01	"SimPenicillins"	41.4262518652354
2013-07-01	"Tetracyclines"	135.525808966615
2013-08-01	"Aminoglycosides"	9.2156941577844
2013-08-01	"Amphenicols"	0.7456642236504
2013-08-01	"ExtPenicillins"	23.2967820380167
2013-08-01	"Lincosamides"	18.6975461526306
2013-08-01	"Macrolides"	79.7847693904458
2013-08-01	"Pleuromutilins"	86.2023158164063
2013-08-01	"SimPenicillins"	37.5818793754631
2013-08-01	"Tetracyclines"	132.178830678994
2013-09-01	"Aminoglycosides"	9.1964291338328
2013-09-01	"Amphenicols"	0.9147753662736
2013-09-01	"ExtPenicillins"	21.3207336744344
2013-09-01	"Lincosamides"	17.7716655131619
2013-09-01	"Macrolides"	78.9868005441093
2013-09-01	"Pleuromutilins"	86.3075849915264
2013-09-01	"SimPenicillins"	35.045187139341
2013-09-01	"Tetracyclines"	129.410397186674
2013-10-01	"Aminoglycosides"	9.8475939933929
2013-10-01	"Amphenicols"	1.9881595532715
2013-10-01	"ExtPenicillins"	21.739150118997
2013-10-01	"Lincosamides"	18.3636668543054
2013-10-01	"Macrolides"	79.7298597320467
2013-10-01	"Pleuromutilins"	87.1391659388653
2013-10-01	"SimPenicillins"	36.4092626990616
2013-10-01	"Tetracyclines"	128.233572686204
2013-11-01	"Aminoglycosides"	9.2737914443639
2013-11-01	"Amphenicols"	2.2377317245387
2013-11-01	"ExtPenicillins"	21.5888127690925
2013-11-01	"Lincosamides"	17.6686371609452
2013-11-01	"Macrolides"	84.3583145453892
2013-11-01	"Pleuromutilins"	91.4136424548611
2013-11-01	"SimPenicillins"	38.2216215820441
2013-11-01	"Tetracyclines"	135.562297655177
2013-12-01	"Aminoglycosides"	8.5224867435303
2013-12-01	"Amphenicols"	0.6870382409392
2013-12-01	"ExtPenicillins"	20.9870852315813
2013-12-01	"Lincosamides"	17.1384165837232
2013-12-01	"Macrolides"	75.0266326255836
2013-12-01	"Pleuromutilins"	87.398436560522
2013-12-01	"SimPenicillins"	34.9486184010636
2013-12-01	"Tetracyclines"	131.639843539894
2014-01-01	"Aminoglycosides"	9.1256718893571
2014-01-01	"Amphenicols"	0.8835210536929
2014-01-01	"ExtPenicillins"	20.516921439636
2014-01-01	"Lincosamides"	19.5845161595564
2014-01-01	"Macrolides"	86.6901732703725
2014-01-01	"Pleuromutilins"	98.8549554476292
2014-01-01	"SimPenicillins"	38.8073033628482
2014-01-01	"Tetracyclines"	138.603033463039
2014-02-01	"Aminoglycosides"	9.3325452822508
2014-02-01	"Amphenicols"	0.7695091932643
2014-02-01	"ExtPenicillins"	24.7231045057753
2014-02-01	"Lincosamides"	17.0941656262851
2014-02-01	"Macrolides"	86.7152006385746
2014-02-01	"Pleuromutilins"	95.4664493011159
2014-02-01	"SimPenicillins"	39.0506206209711
2014-02-01	"Tetracyclines"	130.378671119713
2014-03-01	"Aminoglycosides"	8.2073877597814
2014-03-01	"Amphenicols"	1.0438414073475
2014-03-01	"ExtPenicillins"	22.6776300416379
2014-03-01	"Lincosamides"	16.8994018844429
2014-03-01	"Macrolides"	77.0970048468819
2014-03-01	"Pleuromutilins"	86.3349984098952
2014-03-01	"SimPenicillins"	36.2576248450567
2014-03-01	"Tetracyclines"	136.362985614442
2014-04-01	"Aminoglycosides"	10.0251868315338
2014-04-01	"Amphenicols"	1.7524329679673
2014-04-01	"ExtPenicillins"	22.8373795745871
2014-04-01	"Lincosamides"	17.8636518733403
2014-04-01	"Macrolides"	91.4818262443758
2014-04-01	"Pleuromutilins"	105.229789681438
2014-04-01	"SimPenicillins"	39.9932023997205
2014-04-01	"Tetracyclines"	146.118896837609
2014-05-01	"Aminoglycosides"	9.1084784833971
2014-05-01	"Amphenicols"	0.8083992046169
2014-05-01	"ExtPenicillins"	22.1138825962143
2014-05-01	"Lincosamides"	17.7095241346597
2014-05-01	"Macrolides"	82.4529882576717
2014-05-01	"Pleuromutilins"	96.7767561923838
2014-05-01	"SimPenicillins"	36.2700136628576
2014-05-01	"Tetracyclines"	127.05020038946
2014-06-01	"Aminoglycosides"	9.6141293759461
2014-06-01	"Amphenicols"	0.7817354644249
2014-06-01	"ExtPenicillins"	23.5701344724024
2014-06-01	"Lincosamides"	17.2989891744472
2014-06-01	"Macrolides"	88.4180412094472
2014-06-01	"Pleuromutilins"	92.9340785115078
2014-06-01	"SimPenicillins"	35.0130979491634
2014-06-01	"Tetracyclines"	135.173518632653
2014-07-01	"Aminoglycosides"	9.8419419170507
2014-07-01	"Amphenicols"	1.1245248392228
2014-07-01	"ExtPenicillins"	23.778212114724
2014-07-01	"Lincosamides"	17.6632986639903
2014-07-01	"Macrolides"	85.6212608300106
2014-07-01	"Pleuromutilins"	88.4964962708518
2014-07-01	"SimPenicillins"	38.5287300489534
2014-07-01	"Tetracyclines"	127.391679262155
2014-08-01	"Aminoglycosides"	9.3459629118089
2014-08-01	"Amphenicols"	1.0476359292537
2014-08-01	"ExtPenicillins"	22.0938238291042
2014-08-01	"Lincosamides"	17.2809240136654
2014-08-01	"Macrolides"	82.332534233825
2014-08-01	"Pleuromutilins"	91.1700186495479
2014-08-01	"SimPenicillins"	38.053959076382
2014-08-01	"Tetracyclines"	130.035670844658
2014-09-01	"Aminoglycosides"	9.1510208803038
2014-09-01	"Amphenicols"	1.0919729252078
2014-09-01	"ExtPenicillins"	19.8008170052875
2014-09-01	"Lincosamides"	17.3319314691222
2014-09-01	"Macrolides"	78.2924721238347
2014-09-01	"Pleuromutilins"	74.2272086817772
2014-09-01	"SimPenicillins"	35.9256688313868
2014-09-01	"Tetracyclines"	120.940068667469
2014-10-01	"Aminoglycosides"	9.2293162121521
2014-10-01	"Amphenicols"	1.1065588228814
2014-10-01	"ExtPenicillins"	20.8571767994993
2014-10-01	"Lincosamides"	16.3908338692851
2014-10-01	"Macrolides"	73.7895527909861
2014-10-01	"Pleuromutilins"	73.2616812997932
2014-10-01	"SimPenicillins"	36.3716457004399
2014-10-01	"Tetracyclines"	118.894952251904
2014-11-01	"Aminoglycosides"	8.8530756519031
2014-11-01	"Amphenicols"	1.0316162078856
2014-11-01	"ExtPenicillins"	18.2348274466063
2014-11-01	"Lincosamides"	15.6879844161646
2014-11-01	"Macrolides"	75.9797326103369
2014-11-01	"Pleuromutilins"	72.5540535582213
2014-11-01	"SimPenicillins"	35.9467252527678
2014-11-01	"Tetracyclines"	113.45029819634
2014-12-01	"Aminoglycosides"	8.8514229546667
2014-12-01	"Amphenicols"	1.5856775104824
2014-12-01	"ExtPenicillins"	19.2250009274837
2014-12-01	"Lincosamides"	16.0890122548213
2014-12-01	"Macrolides"	73.5163668619396
2014-12-01	"Pleuromutilins"	67.9186641510757
2014-12-01	"SimPenicillins"	36.6997334424644
2014-12-01	"Tetracyclines"	108.573121302358
2015-01-01	"Aminoglycosides"	8.1322180035264
2015-01-01	"Amphenicols"	1.2287796076722
2015-01-01	"ExtPenicillins"	20.0057459862373
2015-01-01	"Lincosamides"	16.5532611035914
2015-01-01	"Macrolides"	74.1344948285424
2015-01-01	"Pleuromutilins"	70.260782165776
2015-01-01	"SimPenicillins"	38.5088687735497
2015-01-01	"Tetracyclines"	106.719034136042
2015-02-01	"Aminoglycosides"	8.4646731067992
2015-02-01	"Amphenicols"	0.8905782800344
2015-02-01	"ExtPenicillins"	18.1934820950161
2015-02-01	"Lincosamides"	16.1600676846501
2015-02-01	"Macrolides"	66.6576108066936
2015-02-01	"Pleuromutilins"	62.7789992170986
2015-02-01	"SimPenicillins"	36.9279138870495
2015-02-01	"Tetracyclines"	98.9873484758288
2015-03-01	"Aminoglycosides"	8.2727492905657
2015-03-01	"Amphenicols"	0.8307850731488
2015-03-01	"ExtPenicillins"	19.6932974853281
2015-03-01	"Lincosamides"	16.1257820152998
2015-03-01	"Macrolides"	72.7808357225997
2015-03-01	"Pleuromutilins"	65.7206581614265
2015-03-01	"SimPenicillins"	38.1263928639088
2015-03-01	"Tetracyclines"	109.393033828588
2015-04-01	"Aminoglycosides"	7.8600875901287
2015-04-01	"Amphenicols"	0.9680019424312
2015-04-01	"ExtPenicillins"	21.2276531033002
2015-04-01	"Lincosamides"	16.4812742837605
2015-04-01	"Macrolides"	68.3008020579643
2015-04-01	"Pleuromutilins"	71.7452293471511
2015-04-01	"SimPenicillins"	39.5060364922692
2015-04-01	"Tetracyclines"	105.121778482095
2015-05-01	"Aminoglycosides"	7.670745930865
2015-05-01	"Amphenicols"	1.0021391506625
